User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Yunits,Func_group,Genus,Species,Native_Status,Amount_warmed_C,Amount_warmed_type,Years_warmed,Latitude,Longitude,Max_lat_of_species,Year_round_warm,Site,Tissue_Type,Lichen_Moss_Type,Warmed_Mean,Warmed_Var,Warmed_N,Ambient_Mean,Ambient_Var,Ambient_N,Notes,Comments,To_Remove
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,tibetikobresia,Native,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,51,5,3,53.667,5.667,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,tibetikobresia,Native,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,78.333,7.667,3,53.667,5.667,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,moorcroftii,Native,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,33.333,5,3,28.667,7.667,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,moorcroftii,Native,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,16.333,0.667,3,28.667,7.667,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,tibetikobresia,Native,2.9,GrowingSeason_average,0.083,34.72861,92.89278,,Yes,,,,59.649,5.965,3,60.702,8.07,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,tibetikobresia,Native,4.6,GrowingSeason_average,0.083,34.72861,92.89278,,Yes,,,,58.596,10.175,3,60.702,8.07,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,moorcroftii,Native,2.9,GrowingSeason_average,0.083,34.72861,92.89278,,Yes,,,,22.807,3.158,3,20.702,5.263,3,,,
KD,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Graminoid,Carex,moorcroftii,Native,4.6,GrowingSeason_average,0.083,34.72861,92.89278,,Yes,,,,23.158,3.509,3,20.702,5.263,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig5,Biomass_above,mean_SE,kg/m^2,Total,,,,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,Total,,0.421,0.088,3,0.228,0.035,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig5,Biomass_below,mean_SE,kg/m^2,Total,,,,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,Old_Roots,,5.947,0.614,3,6,0.526,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig5,Biomass_below,mean_SE,kg/m^2,Total,,,,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,New_Roots,,4.632,0.807,3,3.305,0.491,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig5,Biomass_above,mean_SE,kg/m^2,Total,,,,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,Total,,0.333,0.07,3,0.228,0.035,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig5,Biomass_below,mean_SE,kg/m^2,Total,,,,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,Old_Roots,,5.088,0.684,3,6,0.526,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig5,Biomass_below,mean_SE,kg/m^2,Total,,,,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,New_Roots,,4.456,0.737,3,3.305,0.491,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig6,Height,mean_SE,cm,Total,,,,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,10,1.357,3,6,1.429,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig6,Height,mean_SE,cm,Total,,,,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,25.214,1.929,3,6,1.429,3,,,
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,Shoot_length,mean_SD,mm,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,,,34.155,2.993,216,29.93,4.225,216,36 plants per 6 plots,Not clear what the sample size is here,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,Shoot_length,mean_SD,mm,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,,,41.725,3.345,216,35.211,4.578,216,,The values I have likely are not correct,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,Shoot_length,mean_SD,mm,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,,,81.514,5.282,120,72.711,4.578,120,20 plants 6 plots,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,Shoot_length,mean_SD,mm,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,,,83.099,6.162,120,72.359,7.221,120,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,SLA,mean_SD,cm^2/g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,,,80.421,3.79,30,72.421,4.632,30,30 plants per treatment,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,SLA,mean_SD,cm^2/g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,,,83.789,4.913,30,74.667,3.649,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,SLA,mean_SD,cm^2/g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,,,70.456,5.053,30,63.719,3.088,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig2,SLA,mean_SD,cm^2/g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,,,72.702,4.912,30,65.965,3.228,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,Leaf,,0.722,0.055,30,0.6,0.07,30,,Unclear here if they used n=30 for the # of plants,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,Leaf,,0.83,0.088,30,0.649,0.063,30,,Or if n=6 for plot-level,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,Leaf,,4.871,0.321,30,4.253,0.346,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,Leaf,,5.341,0.366,30,4.683,0.341,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,Stem,,0.475,0.044,30,0.413,0.055,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,Stem,,0.537,0.047,30,0.46,0.041,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,Stem,,5.761,0.643,30,5.019,0.594,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_above,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,Stem,,6.293,0.561,30,5.341,0.561,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_below,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,Root,,0.313,0.026,30,0.273,0.036,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_below,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,Root,,0.34,0.033,30,0.307,0.044,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_below,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,Root,,2.201,0.37,30,1.879,0.297,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_below,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,Root,,2.439,0.244,30,2.146,0.415,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_total,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,Total,,1.492,0.136,30,1.293,0.155,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_total,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,Total,,1.721,0.113,30,1.428,0.132,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_total,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,Total,,12.824,0.989,30,11.176,1.022,30,,,remove
FS,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig3,Biomass_total,mean_SD,g,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,Total,,14.016,0.781,30,12.163,1.008,30,,,remove
KD,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig5,Nitrogen_above,mean_SD,g/kg,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_2yr,Leaf,,10.341,0.625,30,9.83,0.568,30,,,remove
KD,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig5,Nitrogen_above,mean_SD,g/kg,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Plantation_8yr,Leaf,,10.966,0.625,30,10,0.682,30,,,remove
KD,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig5,Nitrogen_above,mean_SD,g/kg,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_2yr,Leaf,,11.364,0.724,30,10.341,0.753,30,,,remove
KD,4,Xu_2012_EnvironExpBot,2008,Pub4_Fig5,Nitrogen_above,mean_SD,g/kg,Ever_Tree,Picea,asperata,Native,1.2,GrowingSeason_average,1,31.58333,102.5833,40.63701,Yes,Natural_Forest_8yr,Leaf,,12.045,0.568,30,10.739,0.639,30,,,remove
EP,5,Xu_2012_EurJForestRes,2005,Pub5_Tbl2,Leaf_length,mean_SD,mm,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,46.92,3.88,48,43.86,4.27,48,3 branches per 2 plants per 8 plots,Not sure here,remove
EP,5,Xu_2012_EurJForestRes,2005,Pub5_Tbl2,Leaf_area,mean_SD,cm^2,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,11.3,3.15,48,8.8,2.6,48,,,remove
EP,5,Xu_2012_EurJForestRes,2005,Pub5_Fig4,SLA,mean_SD,cm^2/mg,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,,Yes,,,,0.214,0.013,200,0.192,0.014,200,40 leaves per 5 plots,Not sure here,remove
EP,5,Xu_2012_EurJForestRes,2005,Pub5_Fig4,SLA,mean_SD,cm^2/mg,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,0.201,0.013,200,0.175,0.015,200,,,remove
KD,5,Xu_2012_EurJForestRes,2005,Pub5_Tbl1,Phen_leaf_appear,mean_SD,julian_date,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,147,9,48,149,7,48,3 branches per 2 plants per 8 plots,Not sure here,remove
KD,5,Xu_2012_EurJForestRes,2005,Pub5_Tbl1,Phen_senes,mean_SD,julian_date,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,306,12,48,285,10,48,,,remove
KD,5,Xu_2012_EurJForestRes,2005,Pub5_Tbl1,Phen_leaf_lifespan,mean_SD,days,Decid_Tree,Betula,utilis,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,159,8,48,136,8,48,,,remove
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig3,Phen_leaf_lifespan,mean_SD,days,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,51.25,Yes,,,,142.308,6.923,90,133.077,8.462,94,No. branches per treatment,n from figure legend,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig3,Phen_leaf_lifespan,mean_SD,days,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,69.39139,Yes,,,,144.615,8.462,95,127.692,7.692,88,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig3,Phen_leaf_lifespan,mean_SD,days,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,,Yes,,,,124.615,7.692,98,113.846,6.923,108,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,51.25,Yes,,,,0.183,0.008,17,0.173,0.006,17,No. plants per treatment,n from figure legend,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,51.25,Yes,,,,0.175,0.009,17,0.164,0.009,17,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,69.39139,Yes,,,,0.192,0.005,18,0.172,0.005,18,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,69.39139,Yes,,,,0.184,0.007,18,0.173,0.007,18,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,,Yes,,,,0.149,0.008,19,0.137,0.007,19,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,,,0.138,0.008,19,0.131,0.007,19,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,36.85,Yes,,,,0.113,0.009,17,0.111,0.007,17,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,SLA,mean_SD,cm^2/mg,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,36.85,Yes,,,,0.111,0.007,17,0.109,0.009,17,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,51.25,Yes,,Leaf,,1.189,0.032,17,1.237,0.043,17,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,51.25,Yes,,Leaf,,1.019,0.059,17,1.061,0.053,17,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,69.39139,Yes,,Leaf,,0.764,0.036,18,0.875,0.04,18,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,69.39139,Yes,,Leaf,,0.733,0.04,18,0.768,0.048,18,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,,Yes,,Leaf,,1.189,0.09,19,1.36,0.085,19,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,,Yes,,Leaf,,1.079,0.1,19,1.269,0.065,19,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,1.83,32.98333,104.0167,36.85,Yes,,Leaf,,1.003,0.08,17,1.054,0.06,17,,,
EP,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Fig5,Nitrogen_above,mean_SD,percent,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,1.92,32.98333,104.0167,36.85,Yes,,Leaf,,1.008,0.09,17,1.033,0.09,17,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Shoot_length,mean_SD,mm,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,51.25,Yes,,,,98.6,12.8,146,91,11.3,158,No. shoots/leaves per treatment,n from table,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Leaf_area,mean_SD,cm^2,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,51.25,Yes,,,,5.77,0.56,218,5.18,0.63,225,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Shoot_length,mean_SD,mm,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,36.85,Yes,,,,36.1,6.8,145,28.7,4.5,154,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Leaf_area,mean_SD,cm^2,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,36.85,Yes,,,,2.6,0.27,192,2.39,0.29,207,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Shoot_length,mean_SD,mm,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,69.39139,Yes,,,,80.9,12.5,164,73.8,13.8,148,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Leaf_area,mean_SD,cm^2,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,69.39139,Yes,,,,2.67,0.21,199,2.49,0.23,183,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Shoot_length,mean_SD,mm,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,,Yes,,,,83.4,15.5,147,68.4,14.7,162,,,
FS,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl2,Leaf_area,mean_SD,cm^2,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,,Yes,,,,2.28,0.28,189,2.15,0.24,214,,,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Flower_num,mean_SD,count,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,36.85,Yes,,,,27.2,4.3,28,25.6,4.4,31,No. plants per treatment,n from table,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Fruit_num,mean_SD,count,Ever_Shrub,Daphne,retusa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,36.85,Yes,,,,13.8,4.4,28,15.4,3.7,31,,,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Flower_num,mean_SD,count,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,,Yes,,,,189.2,91.7,31,223.6,81.7,35,,,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Fruit_num,mean_SD,count,Decid_Shrub,Spiraea,mongolica,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,,Yes,,,,749,331.2,31,903.2,302.3,35,,,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Flower_num,mean_SD,count,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,69.39139,Yes,,,,32.8,6.4,33,36.1,6.2,30,,,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Fruit_num,mean_SD,count,Decid_Shrub,Dasiphora,fruticosa,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,69.39139,Yes,,,,21.8,5.6,33,23.8,4.9,30,,,
KD,6,Xu_2009_PlantSpeciesBiol,2005,Pub6_Tbl3,Flower_num,mean_SD,count,Decid_Shrub,Lonicera,hispida,Native,2.9,GrowingSeason_average,2,32.98333,104.0167,51.25,Yes,,,,16.3,4.4,32,18.3,4,35,,,
