"User","Pub_number","Pub_info","Study_year_start","File_name","Var_type","Var_type_broad","Value_error","Yunits","Func_group","Func_group_broad","Family","Genus","Species","Genus_Species","Native_Status","Amount_warmed_C","Amount_warmed_type","Years_warmed","Year_round_warm","Latitude","Longitude","Max_lat_of_species","Lat_difference","Site","Tissue_Type","Tissue_Type_broad","Lichen_Moss_Type","Warmed_Mean","Warmed_SD","Warmed_N","Ambient_Mean","Ambient_SD","Ambient_N","Elevation_m","Mean_annual_temp","Mean_annual_precip","Abs_Latitude","yi","vi"
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig5","Biomass_above","Biomass_above","mean_SD","kg/m^2","Total","Total",NA,"","","_","",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","Total","Total","",0.333,0.121243556529821,3,0.228,0.0606217782649107,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.874038744473663,0.730328643903425
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig5","Biomass_below","Biomass_below","mean_SD","kg/m^2","Total","Total",NA,"","","_","",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","Old_Roots","Root","",5.088,1.18472275237711,3,6,0.911058724781229,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.688569189577349,0.7061772940696
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig5","Biomass_below","Biomass_below","mean_SD","kg/m^2","Total","Total",NA,"","","_","",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","New_Roots","Root","",4.456,1.27652144517826,3,3.305,0.850436946516319,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.846725212841132,0.726411965505072
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig6","Height","Growth","mean_SD","cm","Total","Total",NA,"","","_","",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",10,2.35039294587097,3,6,2.47510060401593,3,4836,-5.79047918319702,25.4166666666667,34.72861,1.32234058584677,0.812382052081465
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig6","Height","Growth","mean_SD","cm","Total","Total",NA,"","","_","",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",25.214,3.34112600780036,3,6,2.47510060401593,3,4836,-5.79047918319702,25.4166666666667,34.72861,5.21416558493393,2.93229356225912
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig3","Phen_leaf_lifespan","Phen_leaf_lifespan","mean_SD","days","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",142.308,6.923,90,133.077,8.462,94,3451,2.12004160881042,64,32.98333,1.18653242674552,0.025575113330513
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig3","Phen_leaf_lifespan","Phen_leaf_lifespan","mean_SD","days","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",144.615,8.462,95,127.692,7.692,88,3451,2.12004160881042,64,32.98333,2.08032372497413,0.0337143969637392
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig3","Phen_leaf_lifespan","Phen_leaf_lifespan","mean_SD","days","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,NA,NA,"","","","",124.615,7.692,98,113.846,6.923,108,3451,2.12004160881042,64,32.98333,1.47002338502457,0.02470841067958
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",0.183,0.008,17,0.173,0.006,17,3451,2.12004160881042,64,32.98333,1.38076283010763,0.145683911661865
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",0.175,0.009,17,0.164,0.009,17,3451,2.12004160881042,64,32.98333,1.19331270713042,0.138588164955867
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",0.192,0.005,18,0.172,0.005,18,3451,2.12004160881042,64,32.98333,3.91100072102524,0.323554536664722
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",0.184,0.007,18,0.173,0.007,18,3451,2.12004160881042,64,32.98333,1.5364645689742,0.143898935718237
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,NA,NA,"","","","",0.149,0.008,19,0.137,0.007,19,3451,2.12004160881042,64,32.98333,1.56292490670921,0.137404398210684
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,NA,NA,"","","","",0.138,0.008,19,0.131,0.007,19,3451,2.12004160881042,64,32.98333,0.911706195580373,0.116200107724469
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",0.113,0.009,17,0.111,0.007,17,3451,2.12004160881042,64,32.98333,0.242201822581394,0.118509731218555
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","SLA","Leaf_growth","mean_SD","cm^2/mg","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",0.111,0.007,17,0.109,0.009,17,3451,2.12004160881042,64,32.98333,0.242201822581394,0.118509731218555
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,51.25,18.26667,"","Leaf","Leaf","",1.189,0.032,17,1.237,0.043,17,3451,2.12004160881042,64,32.98333,-1.23649541917695,0.1401311900242
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,51.25,18.26667,"","Leaf","Leaf","",1.019,0.059,17,1.061,0.053,17,3451,2.12004160881042,64,32.98333,-0.731211570720035,0.125509858252277
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,69.39139,36.40806,"","Leaf","Leaf","",0.764,0.036,18,0.875,0.04,18,3451,2.12004160881042,64,32.98333,-2.85211217507131,0.224090886933195
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,69.39139,36.40806,"","Leaf","Leaf","",0.733,0.04,18,0.768,0.048,18,3451,2.12004160881042,64,32.98333,-0.77456174261123,0.119443692959958
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,NA,NA,"","Leaf","Leaf","",1.189,0.09,19,1.36,0.085,19,3451,2.12004160881042,64,32.98333,-1.91245822170893,0.153388111181343
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,NA,NA,"","Leaf","Leaf","",1.079,0.1,19,1.269,0.065,19,3451,2.12004160881042,64,32.98333,-2.20558373917953,0.169271047770173
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",1.83,"Yes",32.98333,104.0167,36.85,3.86667,"","Leaf","Leaf","",1.003,0.08,17,1.054,0.06,17,3451,2.12004160881042,64,32.98333,-0.704189043354895,0.124939444246781
"EP",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig5","Nitrogen_above","Nitrogen_above","mean_SD","percent","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",1.92,"Yes",32.98333,104.0167,36.85,3.86667,"","Leaf","Leaf","",1.008,0.09,17,1.033,0.09,17,3451,2.12004160881042,64,32.98333,-0.271207433438731,0.118728727528712
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Shoot_length","Growth","mean_SD","mm","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",98.6,12.8,146,91,11.3,158,3451,2.12004160881042,64,32.98333,0.629475166607921,0.0138301378500702
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Leaf_area","Leaf_growth","mean_SD","cm^2","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",5.77,0.56,218,5.18,0.63,225,3451,2.12004160881042,64,32.98333,0.987282693063714,0.0101317438795566
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Shoot_length","Growth","mean_SD","mm","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",36.1,6.8,145,28.7,4.5,154,3451,2.12004160881042,64,32.98333,1.28782499309544,0.0161634582391181
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Leaf_area","Leaf_growth","mean_SD","cm^2","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",2.6,0.27,192,2.39,0.29,207,3451,2.12004160881042,64,32.98333,0.747098947626247,0.0107386958663062
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Shoot_length","Growth","mean_SD","mm","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",80.9,12.5,164,73.8,13.8,148,3451,2.12004160881042,64,32.98333,0.539334012124854,0.0133204734641529
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Leaf_area","Leaf_growth","mean_SD","cm^2","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",2.67,0.21,199,2.49,0.23,183,3451,2.12004160881042,64,32.98333,0.817285942427374,0.0113638948685432
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Shoot_length","Growth","mean_SD","mm","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,NA,NA,"","","","",83.4,15.5,147,68.4,14.7,162,3451,2.12004160881042,64,32.98333,0.99188458400231,0.0145675266593031
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl2","Leaf_area","Leaf_growth","mean_SD","cm^2","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,NA,NA,"","","","",2.28,0.28,189,2.15,0.24,214,3451,2.12004160881042,64,32.98333,0.499983533786927,0.0102740557553291
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Flower_num","Flower_num","mean_SD","count","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",27.2,4.3,28,25.6,4.4,31,3451,2.12004160881042,64,32.98333,0.362708200742085,0.0690872420853771
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Fruit_num","Fruit_num","mean_SD","count","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",13.8,4.4,28,15.4,3.7,31,3451,2.12004160881042,64,32.98333,-0.390154601582731,0.0692623554264841
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Flower_num","Flower_num","mean_SD","count","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,NA,NA,"","","","",189.2,91.7,31,223.6,81.7,35,3451,2.12004160881042,64,32.98333,-0.392862993455901,0.0619987455998844
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Fruit_num","Fruit_num","mean_SD","count","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,NA,NA,"","","","",749,331.2,31,903.2,302.3,35,3451,2.12004160881042,64,32.98333,-0.481961671915076,0.0625892434905514
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Flower_num","Flower_num","mean_SD","count","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",32.8,6.4,33,36.1,6.2,30,3451,2.12004160881042,64,32.98333,-0.516869897431892,0.0657566373734371
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Fruit_num","Fruit_num","mean_SD","count","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",21.8,5.6,33,23.8,4.9,30,3451,2.12004160881042,64,32.98333,-0.374193254521049,0.0647476381738958
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Flower_num","Flower_num","mean_SD","count","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",16.3,4.4,32,18.3,4,35,3451,2.12004160881042,64,32.98333,-0.471172796823064,0.0614781733808768
"KD",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Tbl3","Fruit_num","Fruit_num","mean_SD","count","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",10.5,3.4,32,11.6,3,35,3451,2.12004160881042,64,32.98333,-0.340082700143742,0.0606845348620036
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig2","Phen_flwr_lifespan","Phen_flwr_lifespan","mean_SD","days","Decid_Shrub","Shrub","Caprifoliaceae","Lonicera","hispida","Lonicera_hispida","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,51.25,18.26667,"","","","",27.469,3.58,32,26.296,2.222,35,3451,2.12004160881042,64,32.98333,0.39318752313054,0.0609751332605743
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig2","Phen_flwr_lifespan","Phen_flwr_lifespan","mean_SD","days","Ever_Shrub","Shrub","Thymelaeaceae","Daphne","retusa","Daphne_retusa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,36.85,3.86667,"","","","",30.802,2.716,28,29.136,2.346,31,3451,2.12004160881042,64,32.98333,0.650297260436962,0.0715561343569556
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig2","Phen_flwr_lifespan","Phen_flwr_lifespan","mean_SD","days","Decid_Shrub","Shrub","Rosaceae","Dasiphora","fruticosa","Dasiphora_fruticosa","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,69.39139,36.40806,"","","","",23.642,2.84,33,19.753,2.778,30,3451,2.12004160881042,64,32.98333,1.36654970306432,0.078457459596246
"FS",6,"Xu_2009_PlantSpeciesBiol",2005,"Pub6_Fig2","Phen_flwr_lifespan","Phen_flwr_lifespan","mean_SD","days","Decid_Shrub","Shrub","Rosaceae","Spiraea","mongolica","Spiraea_mongolica","Native",2.9,"GrowingSeason_average",2,"Yes",32.98333,104.0167,NA,NA,"","","","",27.963,2.778,31,23.827,2.778,35,3451,2.12004160881042,64,32.98333,1.47131362913419,0.0772292188093457
