User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Xunits,Yunits,Variable,Xvalue,Yvalue,Func_group,Genus,Species,Amount_warmed_C,Amount_warmed_type,Years_warmed,Latitude,Year_round_warm,Site,Tissue_Type,Notes,Comments
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.037,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.249,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.086,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1.143,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.066,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.134,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.069,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,0.991,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.046,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,2.524,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.329,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.037,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.244,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,2.78,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.305,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,2.805,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.22,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,2.988,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.317,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,2.841,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.256,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.073,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.341,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.11,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.232,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,2.988,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.317,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,2.902,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.305,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,2.768,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.268,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.012,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.22,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.11,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.354,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.207,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.207,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,2.6171,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.256,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,2.744,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.146,Forb,Lupinus,arcticus,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.52,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.073,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.554,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.06,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.607,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.054,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.567,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.047,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.647,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.053,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.587,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.08,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.693,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.053,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.613,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.06,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.573,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.053,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.56,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.073,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.707,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.047,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.727,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.027,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.813,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.093,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,0.68,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.033,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,6.17,60.56306,No,,,2007,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Mean,,0.787,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Warmed_Var,,0.04,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Mean,,1.06,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_width,mean_SE,,cm,Ambient_Var,,0.26,Forb,Polygonum,viviparum,1.5,GrowingSeason_average,7.17,60.56306,No,,,2008,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.806,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.112,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.051,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.194,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.653,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.173,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.5,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.245,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.49,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.143,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.204,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.204,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.612,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.143,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.49,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.245,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.367,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.163,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,3.163,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.306,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,3.48,Decid_Shrub,Salix,arctica,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
