User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Xunits,Yunits,Variable,Xvalue,Yvalue,Func_group,Genus,Species,Amount_warmed_C,Amount_warmed_type,Years_warmed,Latitude,Year_round_warm,Site,Tissue_Type,Notes,Comments,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,25.521,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,3.125,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,17.708,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,4.688,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,30.412,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,4.124,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,31.959,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,4.639,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,12.887,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,2.577,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,21.649,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,3.608,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Leaf,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,56.724,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,15.862,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,13.103,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,2.241,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,10.69,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,1.379,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,4.655,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,1.207,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Stem,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,11.525,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,1.356,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,10.169,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,1.017,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,3.898,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,1.356,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,6.102,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,1.017,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Stem,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,193.651,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,40.625,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,48.438,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,9.375,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,35.375,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,2.344,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,21.094,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,3.297,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Total,Site E,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,40.769,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,4.615,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,38.462,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,3.077,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,15.385,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,3.846,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,26.538,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,2.692,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,Total,Site F,Annual biomass,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.089,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.007,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.087,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.008,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.098,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.006,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.094,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.011,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.123,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.014,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.114,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.012,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.118,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.015,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.112,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.01,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Mean,,1.131,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Var,,0.154,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Mean,,1.269,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Var,,0.092,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Mean,,0.262,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Var,,0,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Mean,,0.415,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Var,,0,Decid_Shrub,Arctous,alpinus,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Mean,,1.485,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Var,,0,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Mean,,1.308,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Var,,0.177,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,0.92,43.55,Yes,,Leaf,Aug,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Mean,,0.954,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Warmed_Var,,0.123,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Mean,,0.8,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig6,Nitrogen_above,mean_SD,,percent,Ambient_Var,,0.223,Decid_Shrub,Vaccinium,uliginosum,1.3,GrowingSeason_average,1,43.55,Yes,,Leaf,Sept,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.072,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.006,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.073,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.008,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.067,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1.083,43.55,Yes,,,Sept 2,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.005,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1.083,43.55,Yes,,,Sept 2,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.061,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1.083,43.55,Yes,,,Sept 2,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.006,Ever_Shrub,Vaccinium,vitis-idaea,1.3,GrowingSeason_average,1.083,43.55,Yes,,,Sept 2,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.064,Ever_Shrub,Ledum,palustre,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Var,,0.004,Ever_Shrub,Ledum,palustre,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Ambient_Mean,,0.073,Ever_Shrub,Ledum,palustre,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Ambient_Var,,0.006,Ever_Shrub,Ledum,palustre,1.3,GrowingSeason_average,1,43.55,Yes,,,Sept 1,,
JA,10,Suzuki_1997_GlobChangBiol,1994,Pub10_Fig7,SLA,mean_SD,,cm^2/mg,Warmed_Mean,,0.066,Ever_Shrub,Ledum,palustre,1.3,GrowingSeason_average,1.083,43.55,Yes,,,Sept 2,,
